symbol_a,symbol_b,correlation,sector,industry_a,industry_b,same_industry,mktcap_a_bn,mktcap_b_bn,mktcap_ratio,common_days
BBT,CNOB,0.8177,Financial Services,Asset Management,Banks - Regional,False,2.31,1.32,1.74,749
INDB,NBTB,0.8177,Financial Services,Banks - Regional,Banks - Regional,True,3.61,2.25,1.6,749
EWBC,FHB,0.8176,Financial Services,Banks - Diversified,Banks - Regional,False,15.54,3.31,4.69,749
BY,DCOM,0.8176,Financial Services,Banks - Regional,Banks - Regional,True,1.31,1.3,1.01,749
BY,FCF,0.8176,Financial Services,Banks - Regional,Banks - Regional,True,1.31,1.73,1.33,749
CTBI,HFWA,0.8176,Financial Services,Banks - Regional,Banks - Regional,True,1.02,1.08,1.06,749
NOG,PR,0.8175,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,3.71,9.21,2.48,749
CHCO,FRME,0.8175,Financial Services,Banks - Regional,Banks - Regional,True,1.73,2.16,1.25,749
BBT,ONB,0.8175,Financial Services,Asset Management,Banks - Regional,False,2.31,8.65,3.75,749
BOKF,TRMK,0.8175,Financial Services,Banks - Regional,Banks - Regional,True,7.22,2.35,3.07,749
NBHC,SFNC,0.8175,Financial Services,Banks - Regional,Banks - Regional,True,1.45,2.7,1.86,749
EBC,UCBI,0.8175,Financial Services,Banks - Regional,Banks - Regional,True,3.97,3.66,1.08,395
BANR,TRST,0.8175,Financial Services,Banks - Regional,Banks - Regional,True,2.14,1.02,2.09,749
BBT,SSB,0.8175,Financial Services,Asset Management,Banks - Regional,False,2.31,9.42,4.08,749
NBHC,PPBI,0.8174,Financial Services,Banks - Regional,Banks - Regional,True,1.45,2.36,1.62,645
DCOM,PFS,0.8174,Financial Services,Banks - Regional,Banks - Regional,True,1.3,2.58,1.99,749
EVRG,LNT,0.8174,Utilities,Regulated Electric,Regulated Electric,True,14.17,15.17,1.07,749
EFSC,NBTB,0.8173,Financial Services,Banks - Regional,Banks - Regional,True,2.11,2.25,1.07,749
INDB,OCFC,0.8173,Financial Services,Banks - Regional,Banks - Regional,True,3.61,1.03,3.51,749
ED,WEC,0.8173,Utilities,Regulated Electric,Regulated Electric,True,30.87,29.74,1.04,749
BY,TCBK,0.8172,Financial Services,Banks - Regional,Banks - Regional,True,1.31,1.54,1.18,749
FULT,SSB,0.8172,Financial Services,Banks - Regional,Banks - Regional,True,3.54,9.42,2.66,749
CNOB,EFSC,0.8172,Financial Services,Banks - Regional,Banks - Regional,True,1.32,2.11,1.59,749
NBHC,STBA,0.8171,Financial Services,Banks - Regional,Banks - Regional,True,1.45,1.52,1.05,749
BOKF,CADE,0.8171,Financial Services,Banks - Regional,Banks - Regional,True,7.22,8.06,1.12,749
LBAI,TCBK,0.8171,Financial Services,Banks - Regional,Banks - Regional,True,1.14,1.54,1.35,334
FHB,HOPE,0.817,Financial Services,Banks - Regional,Banks - Regional,True,3.31,1.41,2.35,749
CVBF,FHB,0.817,Financial Services,Banks - Regional,Banks - Regional,True,2.56,3.31,1.29,749
BOKF,ONB,0.817,Financial Services,Banks - Regional,Banks - Regional,True,7.22,8.65,1.2,749
BXMT,STWD,0.817,Real Estate,REIT - Mortgage,REIT - Mortgage,True,3.03,6.06,2.0,749
BKU,UCBI,0.8169,Financial Services,Banks - Regional,Banks - Regional,True,3.39,3.66,1.08,395
FBNC,HOPE,0.8168,Financial Services,Banks - Regional,Banks - Regional,True,2.1,1.41,1.49,749
CTBI,WSBC,0.8168,Financial Services,Banks - Regional,Banks - Regional,True,1.02,2.98,2.92,749
STEL,UCBI,0.8168,Financial Services,Banks - Regional,Banks - Regional,True,1.6,3.66,2.28,395
NWBI,SASR,0.8168,Financial Services,Banks - Regional,Banks - Regional,True,1.76,1.52,1.16,538
BUSE,CVBF,0.8168,Financial Services,Banks - Regional,Banks - Regional,True,2.12,2.56,1.21,749
BY,OSBC,0.8168,Financial Services,Banks - Regional,Banks - Regional,True,1.31,1.03,1.27,749
APLE,PEB,0.8168,Real Estate,REIT - Hotel & Motel,REIT - Hotel & Motel,True,3.7,1.62,2.28,749
CNOB,INDB,0.8167,Financial Services,Banks - Regional,Banks - Regional,True,1.32,3.61,2.73,749
CSQ,QQQX,0.8167,Financial Services,Asset Management,Asset Management,True,3.1,1.32,2.34,749
CFG,UMBF,0.8167,Financial Services,Banks - Regional,Banks - Regional,True,25.2,8.73,2.88,749
BANR,TRMK,0.8167,Financial Services,Banks - Regional,Banks - Regional,True,2.14,2.35,1.1,749
LBAI,TOWN,0.8167,Financial Services,Banks - Regional,Banks - Regional,True,1.14,2.56,2.25,334
BANF,UCB,0.8167,Financial Services,Banks - Regional,Banks - Regional,True,3.53,3.8,1.08,749
EBC,FRME,0.8167,Financial Services,Banks - Regional,Banks - Regional,True,3.97,2.16,1.83,749
AUB,HOPE,0.8167,Financial Services,Banks - Regional,Banks - Regional,True,5.0,1.41,3.55,749
SHO,XHR,0.8167,Real Estate,REIT - Hotel & Motel,REIT - Hotel & Motel,True,2.39,1.51,1.58,749
BANR,WAFD,0.8166,Financial Services,Banks - Regional,Banks - Regional,True,2.14,2.43,1.13,749
SRCE,TOWN,0.8166,Financial Services,Banks - Regional,Banks - Regional,True,1.52,2.56,1.68,749
FFIN,UMBF,0.8166,Financial Services,Banks - Regional,Banks - Regional,True,4.27,8.73,2.04,749
BBT,LBAI,0.8166,Financial Services,Asset Management,Banks - Regional,False,2.31,1.14,2.03,334
CVX,XOM,0.8165,Energy,Oil & Gas Integrated,Oil & Gas Integrated,True,303.36,462.34,1.52,749
CATY,LBAI,0.8165,Financial Services,Banks - Regional,Banks - Regional,True,3.28,1.14,2.88,334
HOPE,OBK,0.8165,Financial Services,Banks - Regional,Banks - Regional,True,1.41,1.16,1.22,749
BPOP,HWC,0.8165,Financial Services,Banks - Regional,Banks - Regional,True,8.42,5.3,1.59,749
FFIN,PB,0.8165,Financial Services,Banks - Regional,Banks - Regional,True,4.27,6.53,1.53,749
BY,FBK,0.8165,Financial Services,Banks - Regional,Banks - Regional,True,1.31,2.97,2.28,749
FHB,INDB,0.8164,Financial Services,Banks - Regional,Banks - Regional,True,3.31,3.61,1.09,749
BUSE,NIC,0.8164,Financial Services,Banks - Regional,Banks - Regional,True,2.12,1.82,1.17,749
CVBF,SFNC,0.8164,Financial Services,Banks - Regional,Banks - Regional,True,2.56,2.7,1.05,749
EWBC,TCBI,0.8164,Financial Services,Banks - Diversified,Banks - Regional,False,15.54,4.08,3.81,749
FBP,UCBI,0.8164,Financial Services,Banks - Regional,Banks - Regional,True,3.32,3.66,1.1,395
CTBI,PFS,0.8164,Financial Services,Banks - Regional,Banks - Regional,True,1.02,2.58,2.53,749
CVBF,DCOM,0.8164,Financial Services,Banks - Regional,Banks - Regional,True,2.56,1.3,1.98,749
EME,FIX,0.8164,Industrials,Engineering & Construction,Engineering & Construction,True,21.16,15.13,1.4,749
CVBF,STBA,0.8163,Financial Services,Banks - Regional,Banks - Regional,True,2.56,1.52,1.68,749
CFR,HBAN,0.8163,Financial Services,Banks - Regional,Banks - Regional,True,8.11,25.66,3.16,749
