symbol,event_date,action,magnitude,mag_label,cluster_status,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
IMG.TO,2012-08-08,downgrade,2,small,single,downgrade,-0.000891,0.008399,-0.00929,-0.000891,0.015316,-0.016207,0.228164,0.063241,0.164923,0.405526,0.036067,0.369459
OTEX.TO,2012-08-09,upgrade,2,small,single,upgrade_single,0.104822,0.00441,0.100412,0.093291,0.021558,0.071733,0.10587,0.049975,0.055895,0.06499,0.028907,0.036082
K.TO,2012-08-09,downgrade,2,small,single,downgrade,0.024079,0.00441,0.01967,0.035411,0.021558,0.013853,0.155807,0.049975,0.105832,0.304533,0.028907,0.275625
CNQ.TO,2012-08-09,downgrade,2,small,single,downgrade,-0.013245,0.00441,-0.017655,0.005519,0.021558,-0.016039,0.007726,0.049975,-0.042249,-0.089404,0.028907,-0.118311
CNQ.TO,2012-08-10,downgrade,2,small,single,downgrade,-0.025727,-0.007317,-0.01841,0.020134,0.019024,0.00111,0.03915,0.050244,-0.011094,-0.097315,0.025366,-0.122681
OTEX.TO,2012-08-10,upgrade,2,small,single,upgrade_single,-0.014231,-0.007317,-0.006914,-0.003795,0.019024,-0.022819,0.003795,0.050244,-0.046449,-0.031309,0.025366,-0.056675
OTEX.TO,2012-08-12,upgrade,2,small,single,upgrade_single,-0.009625,0.004423,-0.014047,0.005775,0.028501,-0.022726,0.025987,0.058968,-0.032982,-0.021174,0.026536,-0.04771
OTEX.TO,2012-08-13,upgrade,2,small,single,upgrade_single,-0.009625,0.004423,-0.014047,0.005775,0.028501,-0.022726,0.025987,0.058968,-0.032982,-0.021174,0.026536,-0.04771
AEM.TO,2012-08-14,downgrade,2,small,single,downgrade,-0.012942,0.005382,-0.018324,0.047167,0.02544,0.021727,0.107276,0.072896,0.03438,0.24015,0.001957,0.238193
AEM.TO,2012-08-15,downgrade,2,small,single,downgrade,0.041667,0.014599,0.027068,0.078089,0.017518,0.06057,0.152389,0.078345,0.074044,0.192308,-0.011679,0.203987
CNR.TO,2012-08-16,downgrade,0,small,single,downgrade,0.01548,0.001918,0.013561,0.002815,-0.005755,0.00857,0.01351,0.054676,-0.041167,-0.05235,-0.020144,-0.032206
BTE.TO,2012-08-16,upgrade,2,small,clustered,upgrade_clustered,0.022303,0.001918,0.020384,0.020909,-0.005755,0.026664,0.090605,0.054676,0.035929,-0.027042,-0.020144,-0.006898
BTE.TO,2012-08-17,upgrade,2,small,clustered,upgrade_clustered,-0.004363,0.001915,-0.006278,-0.013908,-0.002872,-0.011036,0.040087,0.050742,-0.010655,-0.035997,-0.002393,-0.033603
ERF.TO,2012-08-20,upgrade,2,small,single,upgrade_single,0.04049,0.001433,0.039056,0.02919,-0.006211,0.035401,0.085687,0.048734,0.036954,-0.175141,-0.005256,-0.169886
ERF.TO,2012-08-21,upgrade,2,small,single,upgrade_single,-0.000905,-0.002386,0.001481,-0.024434,-0.008111,-0.016324,0.038914,0.042462,-0.003548,-0.204525,-0.000954,-0.203571
AEM.TO,2012-08-21,downgrade,2,small,single,downgrade,0.016204,-0.002386,0.01859,0.004944,-0.008111,0.013054,0.105466,0.042462,0.063004,0.199121,-0.000954,0.200075
AEM.TO,2012-08-22,downgrade,2,small,single,downgrade,0.002162,-0.008608,0.01077,-0.018649,-0.006695,-0.011953,0.084324,0.041129,0.043196,0.191081,0.01626,0.174821
BMO.TO,2012-08-28,upgrade,2,small,single,upgrade_single,0.004509,-0.000962,0.005471,-0.012624,-0.001924,-0.0107,0.002104,0.040885,-0.038781,0.040577,0.022126,0.018451
BNS.TO,2012-08-28,upgrade,2,small,clustered,upgrade_clustered,0.013315,-0.000962,0.014277,-0.008264,-0.001924,-0.00634,0.034894,0.040885,-0.005991,0.05877,0.022126,0.036643
BMO.TO,2012-08-29,upgrade,2,small,single,upgrade_single,-0.013764,-0.011074,-0.002691,-0.009874,0.018296,-0.02817,-0.001496,0.034184,-0.03568,0.038001,0.020221,0.01778
BNS.TO,2012-08-29,upgrade,2,small,clustered,upgrade_clustered,-0.024468,-0.011074,-0.013394,-0.01314,0.018296,-0.031436,0.02039,0.034184,-0.013794,0.05981,0.020221,0.039588
CVE.TO,2012-08-29,upgrade,2,small,single,upgrade_single,-0.008054,-0.011074,0.003019,0.032641,0.018296,0.014345,0.071217,0.034184,0.037033,0.041543,0.020221,0.021322
RY.TO,2012-08-30,upgrade,2,small,single,upgrade_single,0.003923,0.00925,-0.005327,0.022631,0.047712,-0.025081,0.0344,0.053554,-0.019155,0.079964,0.029698,0.050266
CM.TO,2012-08-30,upgrade,2,small,single,upgrade_single,0.011657,0.00925,0.002407,0.028383,0.047712,-0.019329,0.033452,0.053554,-0.020102,0.075013,0.029698,0.045315
TD.TO,2012-08-30,downgrade,2,small,single,downgrade,0.0,0.00925,-0.00925,0.014849,0.047712,-0.032862,0.023759,0.053554,-0.029795,0.038184,0.029698,0.008486
CVE.TO,2012-08-30,upgrade,2,small,single,upgrade_single,0.009829,0.00925,0.000579,0.070085,0.047712,0.022374,0.087607,0.053554,0.034053,0.047436,0.029698,0.017738
TD.TO,2012-08-31,downgrade,2,small,single,downgrade,-0.005091,0.001447,-0.006538,0.019941,0.033767,-0.013827,0.022062,0.044863,-0.022801,0.034366,0.018331,0.016035
RY.TO,2012-08-31,upgrade,2,small,single,upgrade_single,-0.005711,0.001447,-0.007158,0.023144,0.033767,-0.010624,0.030959,0.044863,-0.013904,0.070334,0.018331,0.052003
CM.TO,2012-08-31,upgrade,2,small,single,upgrade_single,-0.000501,0.001447,-0.001948,0.014529,0.033767,-0.019238,0.025551,0.044863,-0.019311,0.066633,0.018331,0.048302
0ABX.L,2012-09-06,upgrade,2,small,clustered,upgrade_clustered,0.025936,0.017494,0.008442,0.053513,0.036879,0.016633,0.074524,0.03026,0.044264,-0.125739,0.00331,-0.129048
T.TO,2012-09-09,upgrade,2,small,single,upgrade_single,-0.010766,0.004666,-0.015432,-0.017943,0.026132,-0.044074,0.007177,0.007,0.000178,0.044258,0.0042,0.040059
T.TO,2012-09-10,upgrade,2,small,single,upgrade_single,-0.010766,0.004666,-0.015432,-0.017943,0.026132,-0.044074,0.007177,0.007,0.000178,0.044258,0.0042,0.040059
RCI-A.TO,2012-09-11,upgrade,2,small,single,upgrade_single,0.017141,0.000929,0.016212,-0.013245,0.019508,-0.032753,0.007791,-0.006503,0.014294,0.119595,0.006967,0.112628
RCI-B.TO,2012-09-11,upgrade,2,small,clustered,upgrade_clustered,0.019475,0.000929,0.018546,-0.004769,0.019508,-0.024277,0.015501,-0.006503,0.022003,0.133545,0.006967,0.126578
PD.TO,2012-09-12,upgrade,2,small,single,upgrade_single,0.03542,0.017633,0.017786,0.014168,0.018561,-0.004394,-0.072019,-0.00232,-0.069699,-0.076741,0.001392,-0.078133
RCI-B.TO,2012-09-12,upgrade,2,small,clustered,upgrade_clustered,-0.003899,0.017633,-0.021532,-0.02885,0.018561,-0.047411,-0.003119,-0.00232,-0.000799,0.11345,0.001392,0.112058
PD.TO,2012-09-13,upgrade,2,small,single,upgrade_single,0.030787,0.010488,0.020299,0.0,-0.003648,0.003648,-0.099202,-0.02508,-0.074122,-0.086659,-0.020064,-0.066596
FM.TO,2012-09-23,upgrade,2,small,clustered,upgrade_clustered,-0.017708,-0.008329,-0.009378,-0.010821,0.001388,-0.01221,0.03394,-0.01851,0.05245,None,None,None
FM.TO,2012-09-24,upgrade,2,small,clustered,upgrade_clustered,-0.017708,-0.008329,-0.009378,-0.010821,0.001388,-0.01221,0.03394,-0.01851,0.05245,None,None,None
BNS.TO,2012-09-24,upgrade,2,small,clustered,upgrade_clustered,0.000448,-0.008329,0.008778,0.010758,0.001388,0.009369,0.004034,-0.01851,0.022544,None,None,None
BNS.TO,2012-09-25,upgrade,2,small,clustered,upgrade_clustered,-0.002688,-0.0042,0.001512,0.009409,0.010733,-0.001324,0.00224,-0.014466,0.016706,0.094534,0.005133,0.089401
0ABX.L,2012-09-25,upgrade,2,small,clustered,upgrade_clustered,0.000936,-0.0042,0.005136,0.017785,0.010733,0.007052,-0.04805,-0.014466,-0.033584,-0.144774,0.005133,-0.149907
K.TO,2012-09-30,upgrade,2,small,single,upgrade_single,0.016484,0.000924,0.015559,None,None,None,-0.02967,-0.000462,-0.029208,-0.085714,0.010166,-0.095881
PAAS.TO,2012-10-01,upgrade,2,small,single,upgrade_single,0.007822,0.000924,0.006898,None,None,None,0.054753,-0.000462,0.055215,-0.146811,0.010166,-0.156977
CP.TO,2012-10-01,downgrade,2,small,single,downgrade,0.019701,0.000924,0.018777,None,None,None,0.137228,-0.000462,0.13769,0.275136,0.010166,0.26497
MX.TO,2012-10-01,upgrade,2,small,single,upgrade_single,0.015962,0.000924,0.015038,None,None,None,0.084507,-0.000462,0.084969,0.164789,0.010166,0.154622
K.TO,2012-10-01,upgrade,2,small,single,upgrade_single,0.016484,0.000924,0.015559,None,None,None,-0.02967,-0.000462,-0.029208,-0.085714,0.010166,-0.095881
CNR.TO,2012-10-01,downgrade,0,small,single,downgrade,0.002026,0.000924,0.001102,None,None,None,0.002605,-0.000462,0.003067,0.042547,0.010166,0.032381
PAAS.TO,2012-10-02,upgrade,2,small,single,upgrade_single,-0.004179,-0.006925,0.002746,-0.036418,-0.003693,-0.032724,0.007164,-0.012004,0.019168,-0.145075,0.015235,-0.16031
MX.TO,2012-10-02,upgrade,2,small,single,upgrade_single,-0.007394,-0.006925,-0.000469,-0.007856,-0.003693,-0.004162,0.077172,-0.012004,0.089176,0.152033,0.015235,0.136798
ELD.TO,2012-10-03,downgrade,2,small,single,downgrade,0.009529,0.014877,-0.005348,-0.056221,-0.005579,-0.050642,-0.053498,-0.007438,-0.04606,-0.173428,0.019991,-0.193418
